Tweet_ID,Content,Date_Post
dante_02_1288220096020849920,"@tonni_padua Infelizmente, não há medicamento, não há vacina e nem previsão de quando sairemos dessa. Como parlamentar, eu tenho o dever de cobrar diálogo da PBH com o segmento de bares e restaurantes.",2020-07-28
dante_02_1288219950616800000,"@leticiaamrl @fael_moe Abriremos em algum momento e cuidados serão ainda + necessários, com planos de abertura. A PBH não pode ficar parada esperando a vacina. Tumulto é realizar a abertura em maio, voltar a fase 0 e só agora pensar nos protocolos de reabertura, + de 120 dias depois do fechamento.",2020-07-28
dante_02_1297547879230429952,O Brasil tem sido parceiro para os testes da vacina contra a Covid-19. A UFMG e a Santa Santa Casa são uma das 20 instituições brasileiras que realizarão testes para a vacina da Jhonson &amp; Jhonson. Uma grande notícia para todos!\n\nhttps://t.co/s7X7C4hb1Z,2020-08-23
dante_02_1298727654988879872,"Estamos em plena campanha de vacinação contra a doença e com pouca adesão. Pessoas entre 20 e 49 anos, mesmo que já vacinadas anteriormente precisam de mais uma dose. A campanha acontece até segunda. \n\nhttps://t.co/dCMLgeP87q",2020-08-26
dante_02_1299727269267630080,"A campanha de vacinação contra o Sarampo, que terminaria no dia 31 de agosto, foi prorrogada para o dia 31 de outubro. Aproveite a oportunidade e não deixe de se vacinar. https://t.co/qHufAgz9pv",2020-08-29
dante_02_1335972127183429888,"O Governo de São Paulo anunciou o início da vacinação, no Estado, para 25/01. Passou da hora do Governador @RomeuZema se posicionar sobre a questão em MG.\n\nhttps://t.co/e2amjytWvF",2020-12-07
dante_02_1336433770904349952,"Que todos tenhamos a oportunidade de Margaret Keenan, de 90 anos, a primeira pessoa vacinada da Inglaterra. \nVacina não tem partido, raça, credo ou time. \nVacina salva. Ignorância mata. \nQue Deus seja louvado. Que nossos cientistas sejam valorizados.\nUm dia de alegria! https://t.co/yRR4CB0llV",2020-12-08
dante_02_1338146476392930048,"O mundo deve muito aos profissionais da saúde e aos cientistas que desenvolveram as vacinas para a Covid. A @TIME se apequena com uma escolha política. Aqueles que sacrificaram suas vidas pelas nossas, em plantões e hospitais, esses sim são as personalidades do ano! https://t.co/wo1WmSLnHf",2020-12-13
dante_02_1241437708356130048,"A partir de quarta-feira (25), nós com mais de 60 anos teremos mais uma opção para a vacinação contra a gripe: todas as unidades da Drogaria Araujo em Belo Horizonte. É gratuito e ajudará a aliviar nossos centros de saúde. Vamos ter calma.\n\nObrigado, Modesto Araujo.",2020-03-21
dante_02_1242614077085619968,"Nesta quarta, 10 horas, começa o agendamento no site da Araujo para vacinação gratuita contra a gripe para a população acima de 60 anos. O agendamento com hora marcada evitará aglomeração de idosos. Quem preferir poderá receber a vacina dentro do carro. \n\nhttps://t.co/73IyLE0yv7",2020-03-24
dante_02_1321309913784760064,"Vacina, só depois de testada, aprovada e comprovada. Antes disso, (desculpem a rima), é roubada!🇧🇷 #COVID19 #Brasil #lafayetteé10 https://t.co/xYos4Yk2pm",2020-10-28
dante_02_1341279638027440128,"Tom Jobim estava coberto de razão, o Brasil não é pra principiantes! #COVID19 #vacina #camelôs https://t.co/2NjDFxCY94",2020-12-22
dante_02_1334911371000079872,"Brasil não pode ficar inerte. Governos locais não conseguem garantir a vacina, é fundamental que a compra seja pelo governo federal. E que seja logo, em especial para que quem está na linha de frente ou é grupo de risco tenha vacina no primeiro trimestre.\n\nhttps://t.co/lXzZKwp1Bw",2020-12-04
dante_02_1306609801233910016,"Segundo a Fiocruz, a volta às aulas em Minas pode colocar a vida de 1 milhão de pessoas em risco. A pandemia ainda persiste, não podemos obrigar os alunos a irem às escolas. Essa medida pode ameaçar a vida de toda a população de BH. https://t.co/zBsoVBwlU0",2020-09-17
dante_02_1319071424984809984,"A vacina Coronac — que orgulhosamente o @butantanoficial fez parte de seu desenvolvimento junto à China — está em última fase de testagem e em vias de aprovação. É vergonhoso (e criminoso) que Bolsonaro se recuse a comprá-la, baseando-se em uma ideologia sem fundamentos.",2020-10-21
dante_02_1319027505349720064,"2 Por ignorância e fanatismo ideológico, Bolsonaro ameaça a vida da população brasileira. Interditando o uso de uma vacina, será responsável pelas mortes que vierem a ocorrer pela falta de prevenção. Terá de ser julgado por isso.",2020-10-21
dante_02_1319027484021710080,"1 É Bolsonaro que tem feito o povo de cobaia, ao incentivar o uso de remédio inócuo contra a Covid19 e perigoso pelos efeitos colaterais. Agora, atenta contra o conhecimento e a civilização, ao anunciar que vai vetar o uso da primeira vacina disponível contra a doença.(...)",2020-10-21
dante_02_1319431497766619904,"1 - Se a sociedade, os partidos e os parlamentares, precisavam de um motivo para discutir o impeachment, Bolsonaro acaba de cometer um crime contra a nação ao dizer que não vai comprar a vacina e desrespeitar um instituto da seriedade do Butantan e toda a comunidade científica.",2020-10-22
dante_02_1326661929788699904,"Menos de 48 horas depois de suspender exames clínicos com a Coronavac, Anvisa diz que medicamento pode ser retomado e recua na decisão, vista como posição política para agradar Bolsonaro, que se desmoraliza perante o Brasil e o mundo:\nhttps://t.co/vIHfMzpw7Z",2020-11-11
dante_02_1326950174158159872,Somos favoráveis à vacina pelo SUS. A vacina é um direito do povo. #DebateComNIlmario,2020-11-12
dante_02_1293314973523899904,"DIA DO ESTUDANTE\nEstamos vivendo um momento diferente com a pandemia do Covid-19. Com isso vocês estudantes, estão fora das salas de aula. Sabemos que isto é temporário e estamos torcendo para a chegada urgente da vacina. Enquanto isto, continuem ligados nos estudos em suas",2020-08-11
dante_02_1276561812075440128,"A campanha de vacinação contra a #gripe foi prorrogada até o dia 30 de junho. Ela reduz o risco de morte e infecções graves causadas pela influenza. Se você tem entre 55 a 59 anos, procure um posto de saúde para tomar a #vacina. https://t.co/UbW2Yndox7",2020-06-26
dante_02_1277368111050759936,"• Vacinação: a campanha contra a gripe foi prorrogada, mas faltam poucos dias para acabar. Previna-se: https://t.co/eqOc9gU6E3",2020-06-28
dante_02_1278036894140499968,"Sou a favor da tecnologia que respeite a privacidade e nossa a liberdade de expressão. Não é com este projeto de lei que vamos combater as fake news. É com educação e inovação. A tecnologia é aliada, o conhecimento é uma vacina. #PL2630Nao",2020-06-30
dante_02_1314682917147360000,"@del_pimenta Sabemos que vai levar um tempo para que todos sejam vacinados, mas até lá precisamos ter mecanismos de retomada como: seguir protocolos de saúde, equipar as escolas municipais com itens de higiene e dividir as turmas caso necessário. O que não podemos é ficar de braços cruzados.",2020-10-09
